61.96, 5, 1, Wino Fresco 700ml litra, 2
29.62, 3, 1, Spicy Thai Basil Chicken, 3
35.36, 1, 2, Prosciutto, 4
12.14, 3, 2, Karpatka, 5
46.44, 2, 3, Indian Chicken Curry, 6
21.43, 3, 4, Capri, 7
8.49, 5, 4, Kabanosiki, 8
18.78, 3, 5, Back bacon with fired bread, 9
18.25, 5, 5, Margharita, 10
8.53, 4, 6, Kabanosiki, 11
1.55, 2, 6, Argus 500ml mojito , 12
11.88, 2, 7, Margharita, 13
17.10, 5, 7, Wodka Mr Thadeo 100ml, 14
45.37, 1, 8, Paleo Stuffed Cabbage, 15
69.05, 3, 8, Wino Fresco 700ml litra, 16
10.44, 2, 8, Kabanosiki, 17
10.04, 2, 9, Wodka Zubr 100ml, 18
7.15, 4, 10, Karpatka, 19
23.85, 4, 11, Barley water, 20
8.32, 4, 11, Wodka Zubr 100ml, 21
35.88, 4, 12, Indian Chicken Curry, 22
15.65, 3, 13, Scrambled Eggs, 23
8.64, 5, 14, Wodka Zubr 100ml, 24
21.62, 5, 15, Squash, 25
52.08, 5, 16, Dijon Pork with, 26
13.78, 2, 16, Margharita, 27
20.37, 4, 16, Capri, 28
4.50, 3, 17, Piwo Tyskie 250ml, 29
20.50, 3, 17, Back bacon with fired bread, 30
21.44, 3, 17, Barley water, 31
2.68, 5, 18, Piwo Harde 500 ml, 32
25.83, 3, 18, Capri, 33
3.53, 4, 18, Piwo Harde 500 ml, 34
36.49, 5, 19, Paleo Stuffed Cabbage, 35
9.62, 4, 19, Pomidorowa, 36
13.36, 1, 19, Yorkshire Dragon, 37
43.96, 5, 20, Paleo Stuffed Cabbage, 38
13, 5, 20, Wodka Mr Thadeo 100ml, 39
15.33, 3, 20, Salatka grecka, 40
7.52, 5, 21, Wodka Zubr 100ml, 41
25.3, 4, 21, Squash, 42
37.86, 4, 22, Kielbasa with Brussels, 43
1.75, 1, 22, Argus 500ml mojito , 44
1.91, 5, 22, Argus 500ml mojito , 45
2.02, 1, 23, Argus 500ml mojito , 46
14.62, 2, 23, Scrambled Eggs, 47
22.47, 5, 24, Barley water, 48
22, 1, 24, Squash, 49
10.76, 5, 25, Karpatka, 50
3.26, 2, 25, Piwo Harde 500 ml, 51
20.60, 5, 25, Scrambled Eggs, 52
14.43, 4, 25, Bubble and squeak, 53
31.72, 4, 26, Paleo Stuffed Cabbage, 54
8.12, 5, 26, Karpatka, 55
18.71, 3, 26, Scrambled Eggs, 56
68.32, 1, 27, Sandacz po szwedzku, 57
46.52, 4, 27, Indian Chicken Curry, 58
5.55, 2, 27, Capri 250ml, 59
7.34, 4, 28, Kabanosiki, 60
35.30, 4, 28, Prosciutto, 61
17.89, 1, 28, Squash, 62
17.21, 3, 28, Wodka Mr Thadeo 100ml, 63
19.51, 5, 29, Back bacon with fired bread, 64
3.47, 5, 29, Piwo Harde 500 ml, 65
17.79, 4, 30, Squash, 66
32.26, 5, 30, Barley water, 67
30.55, 2, 31, Prosciutto, 68
48.75, 3, 31, Wino Fresco 700ml litra, 69
10.95, 4, 32, Kabanosiki, 70
14.13, 2, 33, Margharita, 71
18.42, 1, 33, Yorkshire Dragon, 72
4.40, 1, 33, Piwo Tyskie 250ml, 73
32.15, 4, 34, Barley water, 74
30.36, 4, 34, Spicy Thai Basil Chicken, 75
47.74, 5, 35, Apricot Mustard-Glazed Salmon, 76
5.66, 3, 35, Kabanosiki, 77
14.33, 4, 35, Wodka Mr Thadeo 100ml, 78
12.56, 5, 36, Wodka Mr Thadeo 100ml, 79
12.38, 3, 36, Pomidorowa, 80
27.15, 3, 37, Squash, 81
28.34, 4, 37, Capri, 82
4.95, 4, 38, Piwo Tyskie 250ml, 83
16.15, 1, 38, Scrambled Eggs, 84
18.34, 2, 39, Scrambled Eggs, 85
37.59, 3, 40, Prosciutto, 86
39.64, 4, 40, Apricot Mustard-Glazed Salmon, 87
53.89, 3, 40, Sandacz po szwedzku, 88
2.56, 2, 41, Piwo Harde 500 ml, 89
25.00, 5, 42, Back bacon with fired bread, 90
50.62, 1, 42, Sandacz po szwedzku, 91
8.93, 1, 43, Kabanosiki, 92
8.8, 1, 43, Kabanosiki, 93
18.68, 3, 43, Capri, 94
65.77, 5, 44, Dijon Pork with, 95
30.26, 1, 45, Apricot Mustard-Glazed Salmon, 96
12.24, 2, 45, Bubble and squeak, 97
26.48, 5, 45, Kielbasa with Brussels, 98
5.90, 4, 46, Piwo Tyskie 250ml, 99
32.75, 3, 46, Spicy Thai Basil Chicken, 100
2.58, 2, 46, Argus 500ml mojito , 101
36.91, 2, 47, Prosciutto, 102
2.94, 3, 47, Argus 500ml mojito , 103
25.57, 4, 48, Spicy Thai Basil Chicken, 104
14.59, 5, 48, Wodka Mr Thadeo 100ml, 105
8.78, 2, 48, Capri 250ml, 106
16.24, 2, 49, Margharita, 107
36.37, 4, 49, Kielbasa with Brussels, 108
49.17, 3, 49, Paleo Stuffed Cabbage, 109
16.69, 3, 50, Yorkshire Dragon, 110
31.62, 1, 50, Spicy Thai Basil Chicken, 111
15.43, 3, 51, Scrambled Eggs, 112
8.98, 3, 51, Kabanosiki, 113
14.73, 3, 52, Salatka grecka, 114
17.23, 2, 52, Wodka Mr Thadeo 100ml, 115
7.45, 4, 53, Wodka Zubr 100ml, 116
5.27, 1, 53, Piwo Tyskie 250ml, 117
5.69, 1, 53, Capr